date,sku,produit,categorie,ville,marche,source,methode,prix,devise,marque,origine,rupture,promo,promo_detail,paiement_momo
2026-07-16,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,900,XAF,,,0,0,,0
2026-07-16,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,900,XAF,,,0,0,,0
2026-07-16,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,Relevés terrain Kobo,terrain,5430,XAF,Dangote,,0,0,,0
2026-07-16,CIMENT-50KG,Ciment 50 kg,Matériaux,Bafoussam,Marché A,CoinAfrique,scrape,5540,XAF,Dangote,,0,1,,1
2026-07-16,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Mboppi,Jumia Cameroun,scrape,193100,XAF,Hisense,Chine,0,0,,0
2026-07-16,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Mboppi,CoinAfrique,scrape,54800,XAF,Tecno,,0,0,,1
2026-07-16,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,53400,XAF,Tecno,,0,0,,0
2026-07-17,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Marché Central,Jumia Cameroun,scrape,27000,XAF,Mémé,,0,1,,0
2026-07-17,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,28400,XAF,Mémé,,0,0,,1
2026-07-17,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,1800,XAF,Mayor,,0,0,,0
2026-07-17,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,Jumia Cameroun,scrape,1870,XAF,Mayor,,0,0,,0
2026-07-17,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,1750,XAF,Mayor,,0,0,,0
2026-07-17,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,1790,XAF,Mayor,,0,0,,0
2026-07-17,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,900,XAF,,,0,0,,0
2026-07-17,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,930,XAF,,,0,0,,0
2026-07-17,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,900,XAF,,,0,1,,0
2026-07-17,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,5820,XAF,Dangote,,0,0,,1
2026-07-17,CIMENT-50KG,Ciment 50 kg,Matériaux,Bafoussam,Marché A,CoinAfrique,scrape,5470,XAF,Dangote,,1,0,,0
2026-07-17,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Mboppi,CoinAfrique,scrape,180400,XAF,Hisense,Chine,0,0,,1
2026-07-17,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,184600,XAF,Hisense,Chine,0,0,,1
2026-07-17,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,190300,XAF,Hisense,Chine,0,0,,0
2026-07-17,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Mboppi,Jumia Cameroun,scrape,54500,XAF,Tecno,,0,0,,1
2026-07-17,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,54400,XAF,Tecno,,0,0,,0
2026-07-18,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mokolo,CoinAfrique,scrape,28400,XAF,Mémé,,0,0,,1
2026-07-18,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,27000,XAF,Mémé,,0,0,,1
2026-07-18,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Bafoussam,Marché A,CoinAfrique,scrape,29100,XAF,Mémé,,1,0,,0
2026-07-18,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,1730,XAF,Mayor,,0,0,,1
2026-07-18,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,CoinAfrique,scrape,1860,XAF,Mayor,,0,0,,0
2026-07-18,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,1850,XAF,Mayor,,0,1,remise MoMo -5%,0
2026-07-18,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,900,XAF,,,0,0,,0
2026-07-18,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,930,XAF,,,0,0,,1
2026-07-18,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,890,XAF,,,0,0,,1
2026-07-18,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,Relevés terrain Kobo,terrain,5650,XAF,Dangote,,0,0,,0
2026-07-18,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Mboppi,Relevés terrain Kobo,terrain,5460,XAF,Dangote,,0,0,,1
2026-07-18,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,5640,XAF,Dangote,,0,0,,0
2026-07-18,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,181900,XAF,Hisense,Chine,0,0,,1
2026-07-18,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Marché Central,Jumia Cameroun,scrape,53000,XAF,Tecno,,0,0,,1
2026-07-18,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Mboppi,Relevés terrain Kobo,terrain,56700,XAF,Tecno,,0,0,,0
2026-07-18,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mfoundi,Jumia Cameroun,scrape,54000,XAF,Tecno,,0,0,,1
2026-07-19,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,28200,XAF,Mémé,,0,0,,0
2026-07-19,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,27900,XAF,Mémé,,1,0,,0
2026-07-19,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,28600,XAF,Mémé,,0,0,,1
2026-07-19,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,1830,XAF,Mayor,,0,0,,0
2026-07-19,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,Jumia Cameroun,scrape,1880,XAF,Mayor,,0,0,,0
2026-07-19,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,CoinAfrique,scrape,1780,XAF,Mayor,,0,0,,1
2026-07-19,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,1810,XAF,Mayor,,0,0,,1
2026-07-19,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,880,XAF,,,0,0,,0
2026-07-19,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,Relevés terrain Kobo,terrain,5450,XAF,Dangote,,0,0,,0
2026-07-19,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Mboppi,Jumia Cameroun,scrape,5560,XAF,Dangote,,1,0,,0
2026-07-19,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,5910,XAF,Dangote,,0,0,,0
2026-07-19,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,178300,XAF,Hisense,Chine,0,0,,1
2026-07-19,CONGEL-200L,Congélateur 200 L,Électroménager,Bafoussam,Marché A,Jumia Cameroun,scrape,189200,XAF,Hisense,Chine,0,1,remise MoMo -5%,0
2026-07-19,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Bafoussam,Marché A,Relevés terrain Kobo,terrain,55400,XAF,Tecno,,0,0,,1
2026-07-20,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,28600,XAF,Mémé,,0,0,,0
2026-07-20,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,28100,XAF,Mémé,,0,1,remise MoMo -5%,0
2026-07-20,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,28300,XAF,Mémé,,0,0,,0
2026-07-20,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,1860,XAF,Mayor,,1,0,,1
2026-07-20,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,1840,XAF,Mayor,,0,1,,1
2026-07-20,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,1800,XAF,Mayor,,0,0,,0
2026-07-20,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,1790,XAF,Mayor,,0,0,,0
2026-07-20,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,920,XAF,,,0,0,,0
2026-07-20,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,880,XAF,,,0,0,,0
2026-07-20,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,920,XAF,,,0,0,,0
2026-07-20,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,940,XAF,,,0,0,,0
2026-07-20,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,Relevés terrain Kobo,terrain,5640,XAF,Dangote,,0,0,,1
2026-07-20,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Mboppi,Relevés terrain Kobo,terrain,5500,XAF,Dangote,,0,0,,0
2026-07-20,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,5660,XAF,Dangote,,0,0,,0
2026-07-20,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mfoundi,Jumia Cameroun,scrape,5810,XAF,Dangote,,0,0,,0
2026-07-20,CIMENT-50KG,Ciment 50 kg,Matériaux,Bafoussam,Marché A,Relevés terrain Kobo,terrain,5560,XAF,Dangote,,0,0,,0
2026-07-20,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Marché Central,Relevés terrain Kobo,terrain,55300,XAF,Tecno,,0,0,,0
2026-07-20,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Mboppi,Relevés terrain Kobo,terrain,54500,XAF,Tecno,,0,0,,1
2026-07-20,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Bafoussam,Marché A,Jumia Cameroun,scrape,54800,XAF,Tecno,,0,0,,0
2026-07-21,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Marché Central,CoinAfrique,scrape,29600,XAF,Mémé,,0,0,,0
2026-07-21,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,27100,XAF,Mémé,,0,1,remise MoMo -5%,1
2026-07-21,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,28300,XAF,Mémé,,0,0,,0
2026-07-21,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Jumia Cameroun,scrape,1820,XAF,Mayor,,0,0,,0
2026-07-21,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,1780,XAF,Mayor,,0,0,,0
2026-07-21,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,1820,XAF,Mayor,,0,0,,1
2026-07-21,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,1830,XAF,Mayor,,0,0,,0
2026-07-21,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,CoinAfrique,scrape,880,XAF,,,0,0,,0
2026-07-21,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,910,XAF,,,0,0,,0
2026-07-21,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,910,XAF,,,0,0,,1
2026-07-21,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,910,XAF,,,0,0,,0
2026-07-21,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Mboppi,CoinAfrique,scrape,188400,XAF,Hisense,Chine,0,0,,1
2026-07-21,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,181700,XAF,Hisense,Chine,0,0,,1
2026-07-21,CONGEL-200L,Congélateur 200 L,Électroménager,Bafoussam,Marché A,Relevés terrain Kobo,terrain,183000,XAF,Hisense,Chine,0,0,,0
2026-07-21,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Marché Central,Relevés terrain Kobo,terrain,54300,XAF,Tecno,,0,0,,0
2026-07-21,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Mboppi,Relevés terrain Kobo,terrain,54100,XAF,Tecno,,0,0,,0
2026-07-21,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mokolo,CoinAfrique,scrape,54900,XAF,Tecno,,0,0,,0
2026-07-22,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,27500,XAF,Mémé,,0,0,,0
2026-07-22,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,27500,XAF,Mémé,,0,0,,1
2026-07-22,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,27900,XAF,Mémé,,0,0,,1
2026-07-22,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,28100,XAF,Mémé,,0,0,,1
2026-07-22,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Jumia Cameroun,scrape,1840,XAF,Mayor,,0,0,,0
2026-07-22,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,1810,XAF,Mayor,,0,0,,0
2026-07-22,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,1740,XAF,Mayor,,0,0,,0
2026-07-22,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,1810,XAF,Mayor,,0,0,,0
2026-07-22,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,1780,XAF,Mayor,,0,0,,1
2026-07-22,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,910,XAF,,,0,0,,0
2026-07-22,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,930,XAF,,,0,1,,0
2026-07-22,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,860,XAF,,,0,0,,0
2026-07-22,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,CoinAfrique,scrape,5600,XAF,Dangote,,0,0,,0
2026-07-22,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Mboppi,CoinAfrique,scrape,5630,XAF,Dangote,,0,0,,1
2026-07-22,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,5770,XAF,Dangote,,0,1,,0
2026-07-22,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,5520,XAF,Dangote,,0,0,,0
2026-07-22,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Marché Central,Jumia Cameroun,scrape,187000,XAF,Hisense,Chine,0,0,,1
2026-07-22,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Mboppi,Jumia Cameroun,scrape,185400,XAF,Hisense,Chine,0,0,,1
2026-07-22,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mokolo,CoinAfrique,scrape,184000,XAF,Hisense,Chine,0,0,,1
2026-07-22,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Marché Central,CoinAfrique,scrape,54800,XAF,Tecno,,0,0,,0
2026-07-22,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,54600,XAF,Tecno,,0,0,,0
2026-07-22,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,54400,XAF,Tecno,,0,0,,0
2026-07-23,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Marché Central,Jumia Cameroun,scrape,27900,XAF,Mémé,,0,0,,1
2026-07-23,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,27800,XAF,Mémé,,0,0,,0
2026-07-23,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,27700,XAF,Mémé,,0,0,,0
2026-07-23,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,Jumia Cameroun,scrape,28800,XAF,Mémé,,0,0,,1
2026-07-23,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,1810,XAF,Mayor,,0,0,,1
2026-07-23,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,1800,XAF,Mayor,,0,0,,0
2026-07-23,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mfoundi,Jumia Cameroun,scrape,1750,XAF,Mayor,,0,0,,0
2026-07-23,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,CoinAfrique,scrape,910,XAF,,,0,0,,0
2026-07-23,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,880,XAF,,,0,0,,0
2026-07-23,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,930,XAF,,,0,0,,1
2026-07-23,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,Relevés terrain Kobo,terrain,5310,XAF,Dangote,,0,1,,1
2026-07-23,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,5660,XAF,Dangote,,0,0,,0
2026-07-23,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Marché Central,CoinAfrique,scrape,183300,XAF,Hisense,Chine,0,0,,1
2026-07-23,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,180800,XAF,Hisense,Chine,0,0,,0
2026-07-23,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Marché Central,Jumia Cameroun,scrape,55700,XAF,Tecno,,0,0,,0
2026-07-23,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Bafoussam,Marché A,Relevés terrain Kobo,terrain,55000,XAF,Tecno,,0,0,,0
2026-07-24,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Mboppi,Jumia Cameroun,scrape,28200,XAF,Mémé,,0,1,remise MoMo -5%,1
2026-07-24,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,28500,XAF,Mémé,,0,0,,1
2026-07-24,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,28400,XAF,Mémé,,0,0,,1
2026-07-24,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,1830,XAF,Mayor,,0,0,,1
2026-07-24,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,1750,XAF,Mayor,,0,0,,1
2026-07-24,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,CoinAfrique,scrape,1800,XAF,Mayor,,0,1,,0
2026-07-24,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,1830,XAF,Mayor,,0,0,,0
2026-07-24,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,1810,XAF,Mayor,,0,0,,1
2026-07-24,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Mboppi,CoinAfrique,scrape,890,XAF,,,0,0,,0
2026-07-24,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Yaoundé,Marché Mfoundi,CoinAfrique,scrape,900,XAF,,,0,0,,0
2026-07-24,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Marché Central,Relevés terrain Kobo,terrain,5550,XAF,Dangote,,0,0,,0
2026-07-24,CIMENT-50KG,Ciment 50 kg,Matériaux,Douala,Mboppi,Relevés terrain Kobo,terrain,5640,XAF,Dangote,,0,0,,1
2026-07-24,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mokolo,Jumia Cameroun,scrape,5800,XAF,Dangote,,0,0,,0
2026-07-24,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,5790,XAF,Dangote,,0,0,,0
2026-07-24,CIMENT-50KG,Ciment 50 kg,Matériaux,Bafoussam,Marché A,CoinAfrique,scrape,5660,XAF,Dangote,,0,0,,0
2026-07-24,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Mboppi,Relevés terrain Kobo,terrain,182000,XAF,Hisense,Chine,0,0,,0
2026-07-24,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mokolo,CoinAfrique,scrape,180300,XAF,Hisense,Chine,0,0,,0
2026-07-24,CONGEL-200L,Congélateur 200 L,Électroménager,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,183300,XAF,Hisense,Chine,0,0,,1
